heart_rate,emotion,symptoms,disease,risk,specialist
137,neutral,palpitations chest pain,Arrhythmia,High,Cardiologist
67,neutral,abdominal pain diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
67,sad,back pain numbness legs,Slip Disc,Low,Orthopedic
67,fear,facial arm weakness speech difficulty,Stroke,Critical,Neurologist
65,fear,facial drooping weakness speech difficulty,Stroke,Critical,Neurologist
89,sad,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
88,sad,red itching discharge,Conjunctivitis,Low,Ophthalmologist
79,neutral,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
79,sad,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
59,neutral,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
120,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
56,neutral,sadness loss of interest sleep changes,Depression,Medium,Psychiatrist
86,sad,joint fever rash,Lyme Disease,Low,Infectious Disease Specialist
63,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
108,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
65,sad,blurred vision frequent fatigue,Diabetes Type 2,Low,Endocrinologist
86,sad,headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
88,neutral,weight thirst frequent urination,Diabetes,Low,Endocrinologist
88,neutral,fever headache body pain,Dengue,Low,General Physician
73,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
86,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
81,neutral,loss thirst frequent urination,Diabetes,Low,Endocrinologist
79,sad,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
90,sad,chest fever cough,Pericarditis,Low,Cardiologist
75,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
59,neutral,fatigue weight depression cold intolerance,Hypothyroidism,Low,Endocrinologist
77,sad,pain fever hearing loss,Otitis Media,Low,ENT Specialist
71,sad,back pain numbness legs,Slip Disc,Low,Orthopedic
67,neutral,sore throat swollen lymph nodes,Strep Throat,Low,ENT Specialist
111,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
109,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
87,sad,joint pain swelling,Arthritis,Low,Orthopedic
64,neutral,weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
67,sad,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
103,fear,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
87,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
90,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
104,sad,excessive restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
64,sad,pimples blackheads whiteheads skin,Acne,Low,Dermatologist
63,neutral,fever chills sweating headache,Malaria,Low,Infectious Disease Specialist
84,sad,red silvery scales itching,Psoriasis,Low,Dermatologist
89,sad,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
81,sad,back pain numbness,Slip Disc,Low,Orthopedic
94,fear,cough tightness wheezing,Asthma,High,Pulmonologist
66,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
82,sad,numbness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
110,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
66,sad,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
63,sad,fever cough,Flu,Low,General Physician
62,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
86,neutral,pain stiffness swelling,Arthritis,Low,Orthopedic
101,sad,chest radiating to arm shortness of breath,Angina,High,Cardiologist
70,sad,chills sweating headache,Malaria,Low,Infectious Disease Specialist
118,sad,cough tightness wheezing,Asthma,High,Pulmonologist
69,neutral,red eyes itching discharge,Conjunctivitis,Low,Ophthalmologist
72,sad,numbness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
66,sad,heartburn acid reflux chest,GERD,Low,Gastroenterologist
108,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
93,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
119,sad,chest palpitations dizziness,Heart Failure,High,Cardiologist
84,neutral,pain stiffness swelling,Arthritis,Low,Orthopedic
85,sad,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
75,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
85,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
76,neutral,pimples blackheads whiteheads oily,Acne,Low,Dermatologist
71,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
61,neutral,pimples whiteheads oily skin,Acne,Low,Dermatologist
74,neutral,abdominal pain diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
64,neutral,chronic cough shortness of wheezing,COPD,Low,Pulmonologist
106,neutral,blurred vision dizziness,Hypertension,Medium,Neurologist
83,neutral,fever headache abdominal diarrhea,Typhoid,Low,Infectious Disease Specialist
83,disgust,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
69,sad,fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
80,neutral,seizures temporary loss of awareness,Epilepsy,Low,Neurologist
82,neutral,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
77,neutral,chest fever cough,Pericarditis,Low,Cardiologist
71,neutral,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
85,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
81,sad,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
90,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
66,sad,acid reflux chest pain,GERD,Low,Gastroenterologist
80,sad,ear pain fever loss,Otitis Media,Low,ENT Specialist
77,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
77,sad,abdominal diarrhea blood in stool,Ulcerative Colitis,Low,Gastroenterologist
81,sad,severe headache sensitivity to light,Migraine,Medium,Neurologist
89,neutral,back pain loss of height bone fractures,Osteoporosis,Low,Orthopedic
62,neutral,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
69,sad,rash itching allergy,Allergy,Low,Dermatologist
77,sad,joint pain stiffness,Arthritis,Low,Orthopedic
78,neutral,seizures confusion temporary loss of,Epilepsy,Low,Neurologist
78,sad,pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
82,neutral,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
105,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
82,angry,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
67,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
93,neutral,blurred vision dizziness,Hypertension,Medium,Neurologist
80,sad,back numbness legs,Slip Disc,Low,Orthopedic
66,neutral,seizures confusion temporary loss of,Epilepsy,Low,Neurologist
81,sad,abdominal pain diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
77,sad,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
89,sad,joint pain swelling,Osteoarthritis,Low,Orthopedic
89,neutral,joint pain swelling morning fatigue,Rheumatoid Arthritis,Low,Rheumatologist
109,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
61,neutral,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
81,neutral,blurred vision frequent urination,Diabetes Type 2,Low,Endocrinologist
77,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
60,sad,heartburn reflux chest pain,GERD,Low,Gastroenterologist
110,sad,fever cough chest pain shortness of,Pneumonia,High,Pulmonologist
84,sad,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
69,sad,heartburn acid reflux pain,GERD,Low,Gastroenterologist
77,neutral,joint pain stiffness,Arthritis,Low,Orthopedic
81,neutral,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
79,sad,hand numbness weakness,Carpal Tunnel Syndrome,Low,Orthopedic
67,neutral,cough fever night sweats loss,Tuberculosis,Low,Pulmonologist
68,neutral,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
68,sad,fever headache abdominal pain,Typhoid,Low,Infectious Disease Specialist
76,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
106,neutral,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
112,sad,cough chest tightness,Asthma,High,Pulmonologist
75,sad,cough fever sweats weight loss,Tuberculosis,Low,Pulmonologist
113,fear,chest pain shortness of sweating,Heart Attack,Critical,Cardiologist
67,neutral,skin rash allergy,Allergy,Low,Dermatologist
82,neutral,fever chills headache,Malaria,Low,Infectious Disease Specialist
87,sad,confusion temporary loss of awareness,Epilepsy,Low,Neurologist
71,neutral,stomach pain nausea bloating,Gastritis,Low,Gastroenterologist
74,sad,pimples whiteheads oily skin,Acne,Low,Dermatologist
81,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
78,sad,joint pain swelling morning stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
62,sad,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
79,sad,chronic cough shortness breath wheezing,COPD,Low,Pulmonologist
65,neutral,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
87,angry,blurred vision dizziness,Hypertension,Medium,Neurologist
80,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
63,sad,pimples whiteheads oily skin,Acne,Low,Dermatologist
116,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
67,surprise,facial drooping arm weakness difficulty,Stroke,Critical,Neurologist
67,sad,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
110,sad,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
72,sad,fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
76,sad,fever headache body pain,Dengue,Low,General Physician
85,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
90,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
70,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
74,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
70,sad,fever abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
78,sad,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
102,fear,chest pain palpitations,Heart Failure,High,Cardiologist
79,neutral,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
73,sad,stomach nausea vomiting bloating,Gastritis,Low,Gastroenterologist
62,sad,abdominal pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
89,sad,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
88,neutral,stomach pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
82,sad,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
105,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
81,neutral,red patches silvery scales itching,Psoriasis,Low,Dermatologist
73,sad,fever headache body pain,Dengue,Low,General Physician
82,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
76,neutral,ear fever hearing loss,Otitis Media,Low,ENT Specialist
65,sad,chronic cough shortness of breath wheezing,COPD,Low,Pulmonologist
80,neutral,jaundice fatigue pain dark urine,Hepatitis,Low,Gastroenterologist
69,neutral,fever cough fatigue,Flu,Low,General Physician
85,sad,pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
102,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
86,sad,fever headache body pain,Dengue,Low,General Physician
67,neutral,itching redness dry rash,Eczema,Low,Dermatologist
86,neutral,fever headache abdominal diarrhea,Typhoid,Low,Infectious Disease Specialist
109,fear,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
63,fear,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
67,sad,abdominal pain diarrhea blood in,Ulcerative Colitis,Low,Gastroenterologist
85,angry,headache blurred vision dizziness,Hypertension,Medium,Neurologist
84,sad,back pain numbness,Slip Disc,Low,Orthopedic
136,fear,chest pain radiating arm shortness of breath,Angina,High,Cardiologist
100,angry,blurred vision dizziness,Hypertension,Medium,Neurologist
70,neutral,cough fever sweats weight loss,Tuberculosis,Low,Pulmonologist
83,disgust,severe headache nausea sensitivity light,Migraine,Medium,Neurologist
86,sad,pain nausea vomiting bloating,Gastritis,Low,Gastroenterologist
75,neutral,fever headache body,Dengue,Low,General Physician
68,neutral,blurred vision urination fatigue,Diabetes Type 2,Low,Endocrinologist
68,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
85,sad,joint stiffness swelling,Osteoarthritis,Low,Orthopedic
72,neutral,sadness loss of fatigue sleep changes,Depression,Medium,Psychiatrist
87,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
86,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
80,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
107,sad,cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
71,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
127,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
90,sad,fever chest pain shortness of breath,Pneumonia,High,Pulmonologist
88,sad,fever headache body pain,Dengue,Low,General Physician
72,sad,joint fever rash,Lyme Disease,Low,Infectious Disease Specialist
85,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
121,fear,chest pain dizziness,Heart Failure,High,Cardiologist
98,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
93,neutral,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
89,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
61,sad,headache body pain,Dengue,Low,General Physician
120,sad,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
62,neutral,stomach pain nausea bloating,Gastritis,Low,Gastroenterologist
75,sad,urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
88,neutral,joint pain swelling stiffness fatigue,Rheumatoid Arthritis,Low,Rheumatologist
66,neutral,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
99,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
92,fear,chest tightness wheezing,Asthma,High,Pulmonologist
86,neutral,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
90,neutral,throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
124,fear,chest pain radiating arm shortness of breath,Angina,High,Cardiologist
73,sad,itching redness dry skin,Eczema,Low,Dermatologist
95,fear,cough chest tightness,Asthma,High,Pulmonologist
52,sad,sadness loss of interest fatigue changes,Depression,Medium,Psychiatrist
82,sad,hand numbness tingling,Carpal Tunnel Syndrome,Low,Orthopedic
83,neutral,red eyes discharge,Conjunctivitis,Low,Ophthalmologist
84,neutral,numbness weakness vision fatigue,Multiple Sclerosis,Low,Neurologist
107,neutral,weight loss anxiety rapid heartbeat heat intolerance,Hyperthyroidism,Medium,Endocrinologist
65,sad,red patches silvery scales,Psoriasis,Low,Dermatologist
89,neutral,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
73,sad,cough fever night sweats loss,Tuberculosis,Low,Pulmonologist
78,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
86,sad,sore throat fever swollen nodes,Strep Throat,Low,ENT Specialist
76,sad,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
73,sad,chest pain fever cough,Pericarditis,Low,Cardiologist
70,neutral,blurred vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
88,neutral,weight loss thirst frequent urination,Diabetes,Low,Endocrinologist
71,neutral,abdominal pain diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
74,angry,severe headache nausea sensitivity light,Migraine,Medium,Neurologist
87,sad,jaundice fatigue abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
63,neutral,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
65,neutral,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
80,sad,cough fever night sweats weight,Tuberculosis,Low,Pulmonologist
77,neutral,pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
66,disgust,severe headache nausea to light,Migraine,Medium,Neurologist
75,neutral,fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
78,sad,fever headache body,Dengue,Low,General Physician
92,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
81,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
144,sad,chest pain shortness breath sweating,Heart Attack,Critical,Cardiologist
88,sad,stomach pain nausea,Food Poisoning,Low,Gastroenterologist
102,neutral,headache blurred vision dizziness,Hypertension,Medium,Neurologist
87,neutral,headache blurred vision,Hypertension,Medium,Neurologist
70,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
75,neutral,back pain numbness,Slip Disc,Low,Orthopedic
84,neutral,pain fever cough,Pericarditis,Low,Cardiologist
87,neutral,seizures temporary loss of awareness,Epilepsy,Low,Neurologist
97,fear,abdominal nausea fever loss of appetite,Appendicitis,Critical,Surgeon
90,sad,fever headache abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
61,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
85,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
60,sad,abdominal pain diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
93,sad,fever chest pain shortness of breath,Pneumonia,High,Pulmonologist
102,sad,abdominal nausea fever loss of appetite,Appendicitis,Critical,Surgeon
63,neutral,abdominal pain diarrhea weight,Crohn's Disease,Low,Gastroenterologist
101,neutral,fever loss of taste shortness of breath,COVID-19,High,General Physician
81,neutral,back pain numbness legs,Slip Disc,Low,Orthopedic
69,neutral,seizures confusion temporary of awareness,Epilepsy,Low,Neurologist
68,neutral,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
67,fear,facial drooping weakness speech difficulty,Stroke,Critical,Neurologist
86,fear,fever cough of taste shortness of breath,COVID-19,High,General Physician
77,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
65,neutral,vision frequent urination fatigue,Diabetes Type 2,Low,Endocrinologist
72,neutral,skin itching allergy,Allergy,Low,Dermatologist
99,neutral,fever cough loss of taste shortness of breath,COVID-19,High,General Physician
97,sad,fever chest pain shortness of breath,Pneumonia,High,Pulmonologist
129,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
92,fear,cough chest tightness wheezing,Asthma,High,Pulmonologist
63,neutral,hand numbness weakness,Carpal Tunnel Syndrome,Low,Orthopedic
63,sad,heartburn acid reflux chest pain,GERD,Low,Gastroenterologist
109,sad,abdominal pain nausea fever loss of,Appendicitis,Critical,Surgeon
68,neutral,numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
103,fear,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
135,fear,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
75,sad,sadness loss of fatigue sleep changes,Depression,Medium,Psychiatrist
67,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
71,neutral,jaundice abdominal pain dark urine,Hepatitis,Low,Gastroenterologist
62,neutral,numbness weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
132,sad,chest pain radiating to arm of breath,Angina,High,Cardiologist
77,sad,hand numbness weakness,Carpal Tunnel Syndrome,Low,Orthopedic
73,neutral,numbness weakness vision fatigue,Multiple Sclerosis,Low,Neurologist
76,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
64,neutral,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
89,sad,sore throat fever swollen lymph nodes,Strep Throat,Low,ENT Specialist
66,neutral,itching redness dry skin rash,Eczema,Low,Dermatologist
69,sad,joint pain rash,Lyme Disease,Low,Infectious Disease Specialist
70,neutral,jaundice fatigue abdominal pain urine,Hepatitis,Low,Gastroenterologist
122,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
75,neutral,fever headache abdominal pain,Typhoid,Low,Infectious Disease Specialist
61,neutral,cough fatigue,Flu,Low,General Physician
65,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
126,sad,excessive worry fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
88,sad,cough loss of taste shortness of breath,COVID-19,High,General Physician
112,sad,chest pain dizziness,Heart Failure,High,Cardiologist
55,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
80,neutral,stomach pain vomiting bloating,Gastritis,Low,Gastroenterologist
133,fear,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
75,neutral,fever cough fatigue,Flu,Low,General Physician
91,sad,abdominal nausea fever loss of appetite,Appendicitis,Critical,Surgeon
85,neutral,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
78,sad,numbness weakness vision problems,Multiple Sclerosis,Low,Neurologist
77,neutral,headache stiff neck fever,Meningitis,Low,Neurologist
79,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
73,sad,sadness loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
63,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
84,neutral,cough mucus production wheezing chest discomfort,Bronchitis,Low,Pulmonologist
61,neutral,back pain of height bone fractures,Osteoporosis,Low,Orthopedic
74,sad,itching redness dry skin rash,Eczema,Low,Dermatologist
88,sad,severe headache nausea sensitivity to light,Migraine,Medium,Neurologist
67,sad,loss thirst frequent urination,Diabetes,Low,Endocrinologist
74,neutral,hand numbness tingling weakness,Carpal Tunnel Syndrome,Low,Orthopedic
81,neutral,blurred vision frequent urination,Diabetes Type 2,Low,Endocrinologist
85,neutral,back loss of height bone fractures,Osteoporosis,Low,Orthopedic
66,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
151,neutral,dizziness chest pain,Arrhythmia,High,Cardiologist
70,sad,loss of interest fatigue sleep changes,Depression,Medium,Psychiatrist
103,sad,chest pain palpitations dizziness,Heart Failure,High,Cardiologist
60,sad,skin rash itching allergy,Allergy,Low,Dermatologist
73,neutral,heartburn acid chest pain,GERD,Low,Gastroenterologist
64,neutral,fever abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
90,sad,joint pain swelling morning stiffness,Rheumatoid Arthritis,Low,Rheumatologist
85,neutral,fever abdominal pain diarrhea,Typhoid,Low,Infectious Disease Specialist
72,neutral,back pain loss height bone fractures,Osteoporosis,Low,Orthopedic
78,neutral,seizures confusion temporary loss of awareness,Epilepsy,Low,Neurologist
86,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
103,sad,excessive worry restlessness fatigue irritability,Anxiety Disorder,Medium,Psychiatrist
68,sad,pimples blackheads whiteheads skin,Acne,Low,Dermatologist
66,neutral,weight loss frequent urination,Diabetes,Low,Endocrinologist
85,neutral,joint pain fever rash,Lyme Disease,Low,Infectious Disease Specialist
71,neutral,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
65,neutral,weakness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
133,fear,chest pain of breath sweating,Heart Attack,Critical,Cardiologist
146,fear,chest pain of breath sweating,Heart Attack,Critical,Cardiologist
83,sad,red patches scales itching,Psoriasis,Low,Dermatologist
87,neutral,fever headache body pain,Dengue,Low,General Physician
91,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
67,neutral,stomach pain vomiting nausea,Food Poisoning,Low,Gastroenterologist
94,sad,facial drooping arm weakness speech difficulty,Stroke,Critical,Neurologist
83,neutral,fever headache body pain,Dengue,Low,General Physician
80,sad,abdominal diarrhea weight loss,Crohn's Disease,Low,Gastroenterologist
71,sad,fever headache abdominal diarrhea,Typhoid,Low,Infectious Disease Specialist
115,neutral,fever cough chest pain shortness of breath,Pneumonia,High,Pulmonologist
60,sad,numbness vision problems fatigue,Multiple Sclerosis,Low,Neurologist
64,neutral,pimples blackheads whiteheads oily skin,Acne,Low,Dermatologist
114,sad,chest pain radiating to arm shortness of breath,Angina,High,Cardiologist
70,sad,red patches silvery scales itching,Psoriasis,Low,Dermatologist
50,sad,fatigue weight gain depression cold intolerance,Hypothyroidism,Low,Endocrinologist
116,sad,abdominal pain nausea fever loss of appetite,Appendicitis,Critical,Surgeon
68,sad,pain fever hearing loss,Otitis Media,Low,ENT Specialist
130,fear,chest pain shortness of breath sweating,Heart Attack,Critical,Cardiologist
61,neutral,itching redness dry skin rash,Eczema,Low,Dermatologist
77,sad,cough fever night sweats weight,Tuberculosis,Low,Pulmonologist
92,angry,blurred vision dizziness,Hypertension,Medium,Neurologist
89,sad,frequent urination excessive thirst weight loss,Diabetes Type 1,Low,Endocrinologist
74,sad,joint pain stiffness swelling,Osteoarthritis,Low,Orthopedic
83,neutral,jaundice fatigue abdominal dark urine,Hepatitis,Low,Gastroenterologist
65,neutral,ear pain fever hearing loss,Otitis Media,Low,ENT Specialist
61,sad,pain bloating diarrhea constipation,Irritable Bowel Syndrome,Low,Gastroenterologist
78,neutral,pain numbness legs,Slip Disc,Low,Orthopedic
68,sad,cough fever night sweats weight loss,Tuberculosis,Low,Pulmonologist
86,sad,joint pain stiffness swelling,Arthritis,Low,Orthopedic
85,neutral,chest pain fever cough,Pericarditis,Low,Cardiologist
